科目コード,部門コード,PJコード,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
1000,D01,PJ003,271947,274807,662696,161017,894313,802608,267782,304503,841935,681365,362339,517208
2000,D02,,773041,289676,284079,976408,317992,718506,524843,888014,504660,438099,936782,263242
3000,S01,PJ001,344335,214418,545428,703965,745551,612627,155003,699841,655717,593778,201938,592821
4000,S02,PJ002,933239,678527,117257,775061,777467,451902,652028,461283,213937,376180,539689,619283
4100,D01,PJ003,993105,297888,557779,439578,687486,286325,754095,506393,467126,580990,178498,147032
1000,D02,,698387,819685,137889,213451,721150,564312,935267,841850,426750,479923,141635,145122
2000,S01,PJ001,321243,159406,493864,276762,126367,942783,719483,647434,392665,389996,477519,272502
3000,S02,PJ002,969464,870441,133107,306951,430138,536703,354061,195018,992187,755564,476223,815308
4000,D01,PJ003,728966,796915,644308,568258,688577,803650,160306,620728,286134,870967,611856,262646
4100,D02,,227789,456629,857934,207659,999101,921368,291824,921515,803154,839326,200004,148861
1000,S01,PJ001,953593,486157,258215,791690,334471,479928,851468,575039,488668,116652,202857,284742
2000,S02,PJ002,502257,464587,758420,218929,592211,818609,869796,252365,106553,680504,665687,896639
3000,D01,PJ003,980865,628495,177689,166428,719037,127144,679806,322050,948478,373121,808744,106372
4000,D02,,255568,698709,357073,873498,681905,412928,607630,183705,991534,279162,277006,567138
4100,S01,PJ001,376640,124919,407112,320909,807999,475702,202559,385961,691169,377020,181805,205412
1000,S02,PJ002,111230,407497,311770,644305,380165,968745,286355,554963,517468,782772,893886,399035
2000,D01,PJ003,829487,711383,786169,522622,179167,619655,877137,419934,405927,204655,261517,897330
3000,D02,,103645,795082,171358,124969,736755,655939,871171,594213,494327,346135,326102,334370
4000,S01,PJ001,127273,334453,240438,194408,670095,931744,972171,868761,725567,708798,446005,276943
4100,S02,PJ002,614592,273214,630037,251666,448520,379264,607998,450714,921280,580996,825778,326722
1000,D01,PJ003,843327,130736,772442,479029,804589,357005,741757,685276,171792,400296,604637,635022
2000,D02,,464763,446128,435870,262861,145517,319646,897002,314957,471350,337093,948557,450613
3000,S01,PJ001,134936,498975,801918,824658,888150,125671,143790,350187,972836,763614,402862,571953
4000,S02,PJ002,621206,229959,113329,766928,694058,317594,406705,407851,889150,632989,643248,170815
4100,D01,PJ003,935586,983540,821250,154118,183160,476358,469665,532347,758829,544334,393803,659202
1000,D02,,165180,204660,548528,663957,410513,664307,185186,483711,189009,521480,992877,629240
2000,S01,PJ001,509612,482705,995823,832206,167339,610009,159941,936073,236338,923560,163848,588598
3000,S02,PJ002,948384,314782,203413,454034,672643,198611,840859,850627,497229,449062,975879,936105
4000,D01,PJ003,701363,350846,980731,962154,338237,859901,999398,748869,995754,980811,369957,331262
4100,D02,,965402,650481,185103,440247,456528,644671,798379,250774,828141,974262,377226,112711
1000,S01,PJ001,588103,490847,781276,813364,577950,892848,782991,162902,360913,444329,992634,384766
2000,S02,PJ002,287219,175030,503695,288397,926194,391951,849304,476775,182340,682770,898195,453580
3000,D01,PJ003,873595,499059,209443,665477,937179,942372,763675,508031,477483,902300,269797,955615
4000,D02,,660044,565275,710403,145574,676193,225100,236129,929425,733931,114388,796177,411645
4100,S01,PJ001,914611,610374,736755,818426,495615,233065,407281,307508,216667,436561,483724,956522
1000,S02,PJ002,908898,337096,436558,146491,397133,195921,197461,129959,533955,945718,412623,653417
2000,D01,PJ003,166884,916236,962886,419823,659712,796461,921252,516427,554979,427487,193208,296993
3000,D02,,569419,700498,519989,371557,564611,625449,333005,669274,875169,113523,442540,191321
4000,S01,PJ001,635575,693655,851464,514390,545716,276593,630933,149765,666775,638380,428913,786932
4100,S02,PJ002,525516,419152,534891,185034,898067,680979,172752,855216,468986,984349,979895,847571
1000,D01,PJ003,891153,342531,366863,298836,322011,835648,668274,205214,766295,512697,952971,978782
2000,D02,,192702,765489,844050,352610,447053,285719,499960,826328,108843,332616,210439,408628
3000,S01,PJ001,945805,218880,821631,318863,473641,205524,655783,446120,938759,459187,324241,166023
4000,S02,PJ002,245988,342707,923507,126914,743959,649375,588619,670064,932954,788199,754232,194918
4100,D01,PJ003,448761,742866,725242,253193,308611,387038,168843,527828,735533,713619,938471,853816
1000,D02,,711597,453639,927644,976628,320414,319200,689574,709807,430875,312732,117180,885702
2000,S01,PJ001,538451,994244,497073,549772,892963,368495,187008,997857,337693,349431,970935,381764
3000,S02,PJ002,308006,285014,917135,653395,133174,268391,127712,709879,125436,934898,301724,877303
4000,D01,PJ003,764263,837175,614876,723586,380499,496466,106867,763022,613619,363879,486601,797596
4100,D02,,911372,104713,229115,260232,806876,708705,630647,368171,655621,498769,311487,896649
1000,S01,PJ001,324790,890297,980016,705844,314097,303910,767568,746960,430211,827872,882036,510592
2000,S02,PJ002,524783,319315,627319,845584,128787,872067,936674,951079,225443,830685,498159,511182
3000,D01,PJ003,789609,811270,488743,439820,616129,791066,455272,337908,353847,252780,883407,622704
4000,D02,,200372,118733,856928,996223,249395,418158,883219,471767,782452,337417,702841,928318
4100,S01,PJ001,204705,970840,142158,502244,561431,597694,266699,737629,915735,298720,914837,526383
1000,S02,PJ002,868341,983498,448718,719760,461392,955136,160475,692867,575895,962535,232665,729299
2000,D01,PJ003,235428,910126,841328,406975,719122,514694,254304,110458,786116,510311,696888,185038
3000,D02,,374865,803311,703413,145009,766924,943331,548042,273566,710151,991040,845278,161993
4000,S01,PJ001,962441,333990,694974,428097,153414,286363,125479,116197,550246,976317,246534,819500
4100,S02,PJ002,517296,566990,361865,596551,184807,464889,512522,216886,276236,235084,949583,881544
1000,D01,PJ003,628190,196589,781029,145202,837757,737127,102462,764527,141934,450329,206619,826379
2000,D02,,701173,830832,939043,442320,284552,456000,387728,109576,944433,418418,705160,217012
3000,S01,PJ001,851214,882391,749329,365138,786537,278247,861190,457467,489329,249794,166419,282419
4000,S02,PJ002,341023,894389,702885,860800,804193,180743,435500,872745,522651,894082,168039,372844
4100,D01,PJ003,209452,253776,862578,757658,738999,598781,909047,215634,538153,455290,743984,158377
1000,D02,,344387,960251,548213,718978,612154,336006,620761,400595,727174,376584,468723,291070
2000,S01,PJ001,794581,244265,776764,967308,570816,947684,983446,327373,663248,139562,123927,611023
3000,S02,PJ002,165191,710544,583582,587011,456024,465478,284971,453633,712213,914060,430966,953725
4000,D01,PJ003,396120,605566,785538,152979,753888,556556,689738,149810,268957,777305,750023,113999
4100,D02,,728340,295461,243410,186023,195932,218027,327383,841633,808595,222696,635040,733364
1000,S01,PJ001,214675,346324,554234,201891,355616,737494,305479,570595,166573,242628,719447,644909
2000,S02,PJ002,231376,970664,530216,638688,767777,744978,527911,454904,643304,682443,887924,984506
3000,D01,PJ003,935203,862935,866608,427931,583526,359274,897587,374940,453650,644240,921013,782924
4000,D02,,963936,125164,204742,895517,296802,950909,136817,921438,285928,951995,775864,454768
4100,S01,PJ001,605324,514973,766495,177665,594943,456682,437869,451951,325729,380271,906017,666192
1000,S02,PJ002,927954,800600,594993,379068,571864,453323,121479,531337,644496,528921,131040,673005
2000,D01,PJ003,426389,401678,602486,516223,339499,264579,650637,906052,853648,170726,266075,559617
3000,D02,,360036,372024,949763,292288,870976,496714,944465,147903,741983,561800,971856,674870
4000,S01,PJ001,930866,597440,505788,208008,984215,421694,794474,972121,837889,411014,809514,713171
4100,S02,PJ002,169753,778038,776892,922141,513418,476727,370619,685213,272937,538786,973420,180101
1000,D01,PJ003,289424,153334,665340,117472,830291,944907,928228,830915,101289,438359,910297,560602
2000,D02,,763982,131947,863859,557433,102379,103504,612087,140936,179176,241061,246166,573131
3000,S01,PJ001,535835,297109,755701,259984,568817,502106,589391,395280,617964,797218,425435,547338
4000,S02,PJ002,260654,625102,852068,540301,344066,161190,592080,820144,573547,559414,764867,276504
4100,D01,PJ003,362541,532092,106572,720573,438400,358675,882984,230036,668885,228803,849155,897453
1000,D02,,310622,265837,769846,498673,124884,393899,304428,480677,497849,878807,285304,581919
2000,S01,PJ001,204922,209438,968827,373903,283412,998195,435869,687482,755636,423976,108763,321614
3000,S02,PJ002,969402,765802,183235,952783,371976,922658,151129,920556,922984,119204,881255,176622
4000,D01,PJ003,650029,942989,771715,240420,234051,909756,638450,785855,917668,298645,895433,135498
4100,D02,,602727,575936,645940,988011,912673,325844,182289,665240,322729,212408,188339,348446
1000,S01,PJ001,122395,472571,950793,627253,969725,200707,913204,320693,490331,123307,684758,872525
2000,S02,PJ002,826149,540947,119369,155310,373038,926924,239816,283079,838123,936122,881838,339937
3000,D01,PJ003,522568,496698,372657,117422,682580,736804,412409,570396,823913,853194,272330,249935
4000,D02,,326376,344075,821403,798212,524233,352784,733263,537692,118752,486305,364325,783635
4100,S01,PJ001,404238,442553,237617,307234,838737,625284,786980,919683,295401,396412,721795,249739
1000,S02,PJ002,229527,807894,347179,624386,729871,733489,114441,157123,629571,886336,664466,238823
2000,D01,PJ003,480744,692367,782563,216789,923034,250212,453763,460155,674783,485143,164514,683765
3000,D02,,238939,762906,836405,552454,846808,687874,838868,154593,866440,523622,387105,674460
4000,S01,PJ001,384857,658403,433537,532228,129527,638770,780767,861692,617489,725392,811672,594797
4100,S02,PJ002,344686,294443,967727,469390,438061,979285,829145,426033,671859,286326,406095,854090
1000,D01,PJ003,685189,942635,433578,444634,899405,568088,752903,641707,337061,423529,264857,801618
2000,D02,,492444,247820,725055,588917,992263,539691,439034,590136,555680,928933,518300,506513
3000,S01,PJ001,901391,702291,589513,555881,164579,506932,726042,635812,860341,406877,284669,972142
4000,S02,PJ002,462158,216818,223673,336940,983013,428314,399911,527248,157194,675838,186685,633065
4100,D01,PJ003,130273,734724,446263,728448,185172,448041,222377,740299,941922,458642,780335,521922
1000,D02,,329669,305573,731953,266021,614445,721099,535745,855777,967695,201518,846278,712142
2000,S01,PJ001,913296,224051,153054,996246,356137,616647,432091,774709,929634,838634,199460,225599
3000,S02,PJ002,177153,492264,624307,167376,843057,394486,555651,687405,700494,713523,780057,336329
4000,D01,PJ003,108377,828369,282725,187704,716883,796077,497521,468113,980649,856981,535776,947588
4100,D02,,603958,179909,573369,563330,947462,930358,537178,833321,495662,458722,531977,226382
1000,S01,PJ001,217977,715472,786909,750112,811370,544540,661018,114656,742029,251964,831221,564222
2000,S02,PJ002,841835,225946,649355,281835,438549,110890,503240,340326,985648,829222,747978,270404
3000,D01,PJ003,381048,574165,537824,361621,586367,621243,140720,705451,109301,853161,994906,884850
4000,D02,,403440,313643,660487,186525,304913,335717,526356,806825,391607,488912,169180,350983
4100,S01,PJ001,747746,214410,206946,782496,455412,387596,212992,908048,188257,881867,817554,388494
1000,S02,PJ002,936814,651445,619921,633098,137688,684643,953411,689624,514772,314894,835057,700836
2000,D01,PJ003,195283,528212,454057,983409,220687,659061,894865,947066,565841,968937,754482,823999
3000,D02,,983424,207794,969666,984104,842201,395919,535216,472888,871739,302638,782397,273479
4000,S01,PJ001,974438,677172,748877,678010,982442,656873,928952,279901,695337,892447,717985,359227
4100,S02,PJ002,303514,162360,677996,652607,659009,170682,516190,901188,749256,275508,910813,171125
1000,D01,PJ003,875954,458248,804109,493754,767967,267056,141492,192072,962834,318749,442217,807804
2000,D02,,223752,787070,114299,445388,941392,880426,755491,307130,240651,931394,305857,559627
3000,S01,PJ001,711963,979578,199859,519754,142699,390690,681940,917711,504679,947832,327940,273935
4000,S02,PJ002,432772,853282,586179,294235,857997,267115,881248,325094,744636,179350,613120,975955
4100,D01,PJ003,372210,365251,677976,960752,201344,744621,546564,160290,342607,996149,714125,542852
1000,D02,,605065,816478,916843,193905,340673,399986,498519,817747,409291,947727,689599,346865
2000,S01,PJ001,686089,880478,610380,274065,773166,539603,201899,351974,552261,657577,315900,882522
3000,S02,PJ002,456330,643882,656904,576958,532541,643771,436096,107148,572132,563161,221177,490786
4000,D01,PJ003,408844,859761,330977,354924,202208,294606,264623,804241,884875,228347,510334,832987
4100,D02,,573205,238346,825617,271617,226038,847726,572959,195590,755978,647027,385108,936343
1000,S01,PJ001,790255,719173,998921,285787,343070,936725,219514,695033,893722,338286,764325,150080
2000,S02,PJ002,613056,886023,322710,156933,851399,520072,671161,529519,270519,515453,963560,294707
3000,D01,PJ003,374372,618527,594362,662947,315410,626276,208629,133604,610355,660893,220889,370591
4000,D02,,730738,533352,470800,883221,610106,577909,234392,628841,223752,163436,896697,988117
4100,S01,PJ001,137748,941857,294477,117406,280276,363871,592197,332344,588811,554462,763304,886169
1000,S02,PJ002,759305,614505,181465,885507,546585,698707,960271,270560,198487,828002,639296,338286
2000,D01,PJ003,893597,172560,222360,639783,219605,765578,858815,842533,661844,952820,376574,730181
3000,D02,,650991,934447,932716,923014,783352,610267,136969,607357,473897,948236,719420,452568
4000,S01,PJ001,171349,734558,802306,307839,566149,590886,572220,291461,814133,468382,240551,194258
4100,S02,PJ002,682407,518767,386343,117159,653587,397003,905176,844490,990651,646143,565903,787427
1000,D01,PJ003,205908,821848,838782,201173,148092,335976,315304,836279,504804,941860,122208,366141
2000,D02,,640689,845463,820877,380778,987311,546890,749295,903042,915028,689155,637152,506306
3000,S01,PJ001,783977,357174,675148,225387,919359,712995,796687,818291,613418,174108,141831,695958
4000,S02,PJ002,421396,331784,179443,589556,320306,153542,803134,331420,587305,289014,424531,607014
4100,D01,PJ003,140005,354543,673575,370195,546370,758887,190412,288801,740054,992092,631749,963466
1000,D02,,991492,412654,824370,158973,995851,505617,570099,425741,406991,200993,371053,549840
2000,S01,PJ001,300520,462846,789430,883096,912824,468853,193320,373548,959516,558655,963903,106590
3000,S02,PJ002,195607,712392,225184,652432,296034,141308,765113,695647,177579,304679,470438,110047
4000,D01,PJ003,801165,102856,307563,956736,312924,381944,455328,218512,693220,161701,400324,328833
4100,D02,,218108,123511,707337,793989,421339,833781,345972,359509,674507,717134,166137,151028
1000,S01,PJ001,195424,938206,507888,477579,317130,635949,907492,985622,828095,381413,156487,136170
2000,S02,PJ002,771968,246701,781377,177544,324673,425571,487413,292394,661573,285172,511239,864262
3000,D01,PJ003,991410,985930,583198,205316,411962,194770,314866,158936,812456,100028,322257,684911
4000,D02,,621174,449447,914289,102898,328035,947812,352819,773839,884349,652483,984656,936503
4100,S01,PJ001,694627,925310,842916,478665,939397,672189,295992,196728,430911,109451,118363,740080
1000,S02,PJ002,929744,997724,583139,313843,186528,645698,824167,332749,753768,450004,490978,842103
2000,D01,PJ003,795579,843040,213395,518174,971722,426532,686170,999084,122477,365516,940757,366206
3000,D02,,583455,769850,886805,468994,277025,448278,108244,579211,371285,712070,886221,643563
4000,S01,PJ001,213594,401021,324783,487633,415088,396481,199938,136679,801899,175941,584365,520237
4100,S02,PJ002,672791,703550,630833,596354,914052,870130,449146,174804,480147,375271,799160,770485
1000,D01,PJ003,944219,980718,268616,962514,193194,151633,869496,696349,260521,505830,106463,794490
2000,D02,,273955,986107,171806,306279,516728,411682,441011,538636,773323,436359,578043,744061
3000,S01,PJ001,994700,299967,880158,631522,178808,645424,283230,930016,112114,856546,592137,885593
4000,S02,PJ002,433789,465328,353560,515561,869465,952642,495528,749797,656829,787956,136608,690679
4100,D01,PJ003,456027,355607,915601,300529,635297,688487,436310,671271,722482,158999,161137,711791
1000,D02,,764414,323297,866518,614201,831186,100589,485758,347452,394851,626615,654962,834607
2000,S01,PJ001,545912,452809,528981,130923,775309,686852,986850,724399,751395,213734,765201,345644
3000,S02,PJ002,541253,662726,112929,903918,834250,276452,632226,716255,312774,329711,939206,794493
4000,D01,PJ003,532556,547698,125758,292292,696864,754199,806062,296705,472967,122012,447222,532597
4100,D02,,550023,555626,754761,723749,236750,132120,113798,120798,567106,604047,201525,117922
1000,S01,PJ001,863617,964727,224115,606303,418461,280636,514585,321633,423020,367434,651893,905085
2000,S02,PJ002,980751,420564,874873,283014,168246,184781,149941,749663,839139,658530,722827,425653
3000,D01,PJ003,372183,847937,364409,767665,691563,473471,813493,134200,243594,962216,872827,547241
4000,D02,,655895,382736,110049,546395,642043,161741,390339,266432,160522,361384,860559,298045
4100,S01,PJ001,403300,782651,150423,768597,615810,594713,543585,125409,593769,803486,907766,256905
1000,S02,PJ002,174280,248945,221704,721180,883943,602415,468679,401086,226971,530533,963294,473159
2000,D01,PJ003,111570,996942,469068,545425,131885,718842,667943,882479,154507,285937,877233,507112
3000,D02,,738384,886681,494909,477017,876269,729640,193449,679144,212493,830321,330081,656927
4000,S01,PJ001,658464,958921,164828,968770,181784,732313,308628,728067,378334,179352,247187,974877
4100,S02,PJ002,945223,635172,943561,414498,902208,608546,279530,754374,539891,239664,128952,287590
1000,D01,PJ003,823017,208704,615617,753254,209562,439710,671630,218620,734637,462153,636823,535215
2000,D02,,960576,748853,899171,368545,107122,749702,717676,581635,992315,488618,380774,474585
3000,S01,PJ001,253170,999228,192764,966339,299847,811700,423808,951821,917678,992150,596079,918202
4000,S02,PJ002,274248,833411,655915,276595,492558,521342,989822,259143,956348,636252,405893,649934
4100,D01,PJ003,191195,880614,321868,562277,746649,248878,837968,368362,880940,823339,306794,592563
1000,D02,,435823,819393,682551,703789,790578,202484,800687,513621,247376,528129,848601,136853
2000,S01,PJ001,288130,990479,510689,653352,172781,762343,852572,509685,604327,247962,915535,131523
3000,S02,PJ002,101201,546162,297987,146067,822972,250165,509580,752772,157674,491900,687446,361339
4000,D01,PJ003,632814,342228,654235,785780,785197,373572,948544,194559,950634,793525,104257,817282
4100,D02,,698441,487666,998729,384484,883356,246032,582247,504529,797140,422046,828204,200545
1000,S01,PJ001,184079,882230,463132,325790,761330,324220,723305,738877,105335,520978,424964,917733
2000,S02,PJ002,272135,582971,434963,332117,211249,711276,153734,467877,282459,298583,336369,268814
3000,D01,PJ003,750484,141781,331261,181942,351582,904905,487966,827466,254487,279910,423320,758027
4000,D02,,328464,422036,440611,800373,618363,361524,412792,214485,603075,757641,514968,146040
4100,S01,PJ001,427875,966795,601743,294895,114433,472255,642412,588957,759004,832250,261687,409576
1000,S02,PJ002,141127,152111,818465,680733,954561,572757,126262,691392,375176,525977,871057,708777
2000,D01,PJ003,463886,361982,762194,565175,537252,789193,139234,585132,615346,732185,427653,983919
3000,D02,,737783,735984,301429,641785,432545,277115,523953,360883,723843,439830,275564,658904
4000,S01,PJ001,768568,763958,611549,616142,367605,189421,718816,375957,903676,655063,652754,285504
4100,S02,PJ002,722657,563131,190318,715083,509528,146185,570773,758491,602466,208857,229460,188900
1000,D01,PJ003,642065,976205,271366,666776,302451,176247,410953,906608,158561,989107,281298,882553
2000,D02,,927095,510782,395387,558905,191243,740744,238988,165688,324000,411226,650433,242141
3000,S01,PJ001,949242,840858,255761,343674,850693,697230,713641,554757,818426,517054,696112,106168
4000,S02,PJ002,751065,392641,997266,502664,342028,133715,835085,615365,578615,582786,607969,912980
4100,D01,PJ003,169619,155407,230189,600994,613105,919057,394073,728053,355939,654669,708826,988004
1000,D02,,860109,945294,927093,268721,416331,371648,233265,238547,548408,186685,265414,157988
2000,S01,PJ001,262258,792464,346566,135720,872047,450162,291624,561079,686052,808993,525804,384034
3000,S02,PJ002,570716,846458,851190,229115,644306,119348,789871,747048,479516,758170,616092,368687
4000,D01,PJ003,949636,907837,833161,833339,770493,865849,865157,303799,193427,690724,732972,226212
4100,D02,,556626,313864,857186,377174,708869,146634,457517,477817,561694,653136,685535,594019
1000,S01,PJ001,307099,749351,346833,360521,434396,894491,822518,501835,234763,160396,975947,812122
2000,S02,PJ002,252361,449914,176280,606054,164826,424468,243516,635119,981709,992836,212610,825075
3000,D01,PJ003,729604,248901,303289,672217,200977,830458,452085,806483,182795,833187,745483,605294
4000,D02,,336887,920072,248240,932757,822817,441654,873873,339197,218645,410535,489793,281833
4100,S01,PJ001,639180,466996,231734,857309,375616,168233,190072,274792,502688,812180,603004,666062
1000,S02,PJ002,235354,149462,661942,928221,965841,108464,531131,601508,799296,141963,776918,879993
2000,D01,PJ003,437779,431891,561532,166173,178331,818448,123363,520185,872364,388626,235821,266945
3000,D02,,884979,377702,574935,289344,321815,929276,408263,247185,159816,899542,966439,683281
4000,S01,PJ001,445846,833435,241611,395618,929859,474114,831346,279250,934786,961334,305201,980894
4100,S02,PJ002,856989,106550,324988,981599,532007,566000,802122,203184,423039,738087,607437,601480
1000,D01,PJ003,301757,394149,328808,174787,752137,605803,139132,277429,788781,342855,968830,589464
2000,D02,,391764,676885,593238,211266,397067,323261,896760,212420,148737,913284,524396,470750
3000,S01,PJ001,444215,479440,237908,852509,177148,870147,449062,985972,230620,869519,140894,759178
4000,S02,PJ002,223170,311878,989969,724833,115963,809989,961937,224121,209846,918852,682859,145888
4100,D01,PJ003,894081,851100,462983,750643,286340,529449,276240,803242,850425,371522,862320,175322
1000,D02,,366593,736831,743441,453596,888501,892525,437583,974580,300457,600830,413952,255540
2000,S01,PJ001,598336,577531,851779,667774,615215,995656,630369,988927,593754,834169,715727,236363
3000,S02,PJ002,812769,865011,367850,886739,276897,303678,608188,516878,905783,301332,971103,296299
4000,D01,PJ003,707670,184529,273108,868178,288504,447164,915312,241815,989111,259180,994393,986625
4100,D02,,672321,829207,426169,395325,525409,130963,697893,922772,704167,852484,537498,700028
1000,S01,PJ001,543692,396085,595151,893605,640246,322976,864394,797154,586733,335577,957283,271232
2000,S02,PJ002,510951,365150,533728,595137,645269,119668,243373,568454,229792,520714,632893,618807
3000,D01,PJ003,278114,255398,493298,817962,741072,967872,665223,987979,513635,716882,636253,122135
4000,D02,,969985,897548,287885,401276,964069,688881,159303,678834,157810,472900,469340,726503
4100,S01,PJ001,419686,842656,444822,284701,948835,811034,314702,937110,712513,720863,219144,956189
1000,S02,PJ002,363915,719507,617043,427477,479713,638162,724354,821584,278801,433294,179592,647111
2000,D01,PJ003,711252,317070,812675,784932,888877,244935,825679,737869,863158,345673,426123,479375
3000,D02,,684258,833383,834150,492187,779772,804220,632138,888072,650695,661348,488637,351034
4000,S01,PJ001,261335,571972,374309,609191,284747,993042,241434,922277,243655,584965,814169,594817
4100,S02,PJ002,631882,411122,818614,962616,332781,181717,421631,733893,842773,549203,520179,648868
1000,D01,PJ003,513456,407422,824542,557501,856482,882747,108561,612652,655343,915781,243986,612936
2000,D02,,109607,327672,280986,955616,236080,682765,962155,738915,430403,577375,476808,356545
3000,S01,PJ001,321068,448222,201156,299396,418932,215348,584128,100555,509136,994971,717049,955324
4000,S02,PJ002,391559,423348,459471,198454,481567,194022,581396,280297,467060,984874,795107,872716
4100,D01,PJ003,609350,887620,647364,527772,904381,514074,202756,382507,415652,200901,884789,378778
1000,D02,,694318,546836,993811,715209,563818,229019,835580,685644,567962,306999,795502,552747
2000,S01,PJ001,352756,141218,268560,312268,765163,369821,528058,632793,529560,449201,790354,822373
3000,S02,PJ002,161354,172602,503948,736812,654308,983057,222170,149833,259323,412672,483924,524652
4000,D01,PJ003,891472,952672,900693,414102,300765,768815,714368,457009,985852,434112,599113,519612
4100,D02,,558211,333090,241281,510891,520088,595816,368628,995246,933181,324218,510484,341832
1000,S01,PJ001,990717,714432,737960,426895,394643,131868,837788,188536,690589,792696,947367,981392
2000,S02,PJ002,680325,606896,190836,284940,225433,698962,731218,583391,333236,967607,137196,749046
3000,D01,PJ003,545740,270087,629788,486497,462074,916970,534565,332465,860939,917233,362948,738082
4000,D02,,781512,449409,693767,734163,449982,268506,491520,781770,258485,201427,565332,392309
4100,S01,PJ001,311010,316416,413004,325218,927809,684051,174947,522910,578568,220656,420415,192903
1000,S02,PJ002,367163,486907,946648,818024,536094,215642,740220,418130,875215,508663,546170,714525
2000,D01,PJ003,836552,670479,116547,104656,234887,429496,270052,715286,756455,433853,465449,642332
3000,D02,,586138,231509,939809,318014,621780,406442,268768,993804,514695,299484,720289,227698
4000,S01,PJ001,321455,126766,874192,282493,871503,543657,609767,655627,907831,667207,741198,808202
4100,S02,PJ002,993640,969705,375509,828529,339978,364835,116916,180101,657844,816981,603439,210324
1000,D01,PJ003,513008,123571,864809,999865,712654,372532,647188,729127,227774,608952,706908,143750
2000,D02,,962133,404540,248457,927843,768544,198108,743040,927354,339973,790159,407976,530935
3000,S01,PJ001,919022,865599,376581,156258,932006,854443,894692,202504,107988,521131,479008,739856
4000,S02,PJ002,151582,343716,106529,686916,452341,827312,828142,187899,942590,703143,123041,992232
4100,D01,PJ003,279065,239796,471768,398391,760129,176956,381613,876826,892292,701267,410379,803161
1000,D02,,671512,124778,635763,421057,817185,630787,603205,812186,831338,847592,777821,185638
2000,S01,PJ001,905809,428123,151878,220502,782616,107891,369222,504670,962085,736475,850202,480147
3000,S02,PJ002,646348,391187,585481,459479,816141,307286,646035,227152,129188,790006,354431,545408
4000,D01,PJ003,752109,635793,488720,328347,353297,172626,731117,399861,411355,520306,874435,729408
4100,D02,,281970,167158,302671,355110,529882,355973,779856,168910,735666,915024,337556,346480
1000,S01,PJ001,750908,252324,454045,757602,162216,380660,709007,908386,543977,293115,932652,258287
2000,S02,PJ002,331363,942406,237693,247506,382679,475709,768216,514655,201550,388115,239162,190184
3000,D01,PJ003,468625,172719,514533,795061,991396,664006,760022,745737,656767,508718,594694,428077
4000,D02,,317125,556405,841292,949740,982064,900093,878116,114209,446442,647538,127424,122218
4100,S01,PJ001,800021,909826,515755,105718,128768,737715,798479,337725,131168,833323,416580,272644
1000,S02,PJ002,541879,162435,747404,683395,786102,175281,483495,739762,846454,711894,103381,441850
2000,D01,PJ003,730353,818898,382887,272876,446064,483009,216698,723547,537540,512427,476393,327837
3000,D02,,247597,162186,478178,910843,610008,432585,241512,926045,258346,514877,668945,328528
4000,S01,PJ001,888014,754058,395762,184755,293575,311276,697614,549429,655990,296093,854425,348870
4100,S02,PJ002,825487,590246,497805,376792,560618,555418,310988,390423,659652,792537,815540,231775
1000,D01,PJ003,531100,266996,740433,541566,797421,259931,206390,993002,376179,412501,603947,435796
2000,D02,,404778,281137,383594,312696,507770,753363,104770,369017,319677,841156,399189,260779
3000,S01,PJ001,892344,208094,502433,727768,130271,191297,205731,636509,568512,317187,150854,658677
4000,S02,PJ002,654537,529254,428161,391407,475259,107330,439242,538628,118357,338590,639213,263939
4100,D01,PJ003,767992,248494,536216,490601,902250,238054,256174,616879,751654,401442,138355,459818
1000,D02,,441322,319449,655360,516330,967353,289344,555719,895620,661293,407239,714373,351394
2000,S01,PJ001,882598,130526,238548,236661,477617,416068,794915,429947,707952,998571,474541,889236
3000,S02,PJ002,951316,381652,876297,243172,899345,828407,114449,770767,240704,333030,853218,497555
4000,D01,PJ003,265315,642029,432827,210291,395318,337134,592670,831905,523373,158141,207259,350992
4100,D02,,548333,176014,818865,471783,478811,795761,954392,248393,131198,865713,721932,354243
1000,S01,PJ001,781036,849163,755446,124265,398665,602845,550026,343367,275319,875651,405243,195751
2000,S02,PJ002,260908,853537,478177,308787,539955,239158,462646,125433,662215,490004,224997,971451
3000,D01,PJ003,844590,166257,660925,328428,129229,264296,239430,622967,786318,667149,271852,712371
4000,D02,,718361,283414,648397,732078,322784,297075,277842,656066,673167,832398,994267,627796
4100,S01,PJ001,884026,412074,350937,378812,683860,327655,365556,915807,674071,905181,998888,933678
1000,S02,PJ002,422244,154456,413040,920711,835427,945246,201449,547375,427262,516955,712983,838192
2000,D01,PJ003,950230,969969,772650,401112,655403,989631,638103,719603,879890,199487,451812,532619
3000,D02,,484969,335259,292034,277952,596395,347438,407937,863923,841753,282103,954495,381017
4000,S01,PJ001,209493,202359,732408,234230,995539,298776,585923,406196,390432,404484,678192,854868
4100,S02,PJ002,764757,920386,873400,397033,466036,169812,804424,794860,424596,810555,403973,538371
1000,D01,PJ003,685952,503284,396237,538773,207018,573648,610925,230307,364795,858744,147960,423732
2000,D02,,707491,871204,179693,508564,893858,490049,637998,155797,170996,283080,946784,339900
3000,S01,PJ001,870134,904062,790085,397463,271723,712876,321421,825076,856463,707502,695369,426353
